code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E09000001,city of london,01/12/1999,33020,,48922,0,6581,,,,1
E09000002,barking and dagenham,01/12/1999,21480,,23620,3,162444,,,,1
E09000003,barnet,01/12/1999,19568,,23128,8,313469,,,,1
E09000004,bexley,01/12/1999,18621,,21386,18,217458,,,,1
E09000005,brent,01/12/1999,18532,,20911,6,260317,,,,1
E09000006,bromley,01/12/1999,16720,,21293,13,294902,,,,1
E09000007,camden,01/12/1999,23677,,30249,13,190003,,,,1
E09000008,croydon,01/12/1999,19563,,22205,13,332066,,,,1
E09000009,ealing,01/12/1999,20580,,25046,12,302252,,,,1
E09000010,enfield,01/12/1999,19289,,21006,9,272731,,,,1
